,eyebrow,eye,nose,forehead
204,0.330289362,0.172317139,0.030823155,0.130500339
205,0.322202032,0.186037625,0.03650001,0.150622253
206,0.324001779,0.179682841,0.032310052,0.137648078
207,0.324101508,0.17832686,0.034021427,0.137146767
208,0.327058805,0.184916541,0.037576646,0.146647594
209,0.331356699,0.183755906,0.042040699,0.147571492
210,0.341994089,0.190751171,0.038880544,0.156715535
213,0.33496327,0.190638993,0.031065601,0.145447853
214,0.335179483,0.17591078,0.030910084,0.148013506
215,0.330251525,0.18177412,0.031925914,0.133917324
216,0.334346147,0.19483941,0.033966465,0.14429497
217,0.322089566,0.180480218,0.034817784,0.143602803
218,0.317493008,0.187564823,0.036807115,0.146735473
220,0.338333604,0.181079222,0.03334154,0.141725934
221,0.3339534,0.182149849,0.038513069,0.149259538
222,0.330986768,0.186919668,0.035826046,0.15198092
223,0.336754867,0.191368733,0.038684136,0.155006778
224,0.33812775,0.19088903,0.03393286,0.148981177
225,0.327508964,0.186477756,0.035651135,0.151806974
226,0.321777298,0.175821167,0.033478289,0.13324649
227,0.352057705,0.182793966,0.036475653,0.141990423
228,0.329433301,0.180778006,0.035366541,0.152442795
230,0.328441005,0.183644873,0.033457407,0.149432153
232,0.332719677,0.185182236,0.040673833,0.13130069
233,0.327819107,0.188523201,0.03670556,0.140428324
234,0.328482956,0.185695747,0.040746897,0.14516342
235,0.326432644,0.180950996,0.037361238,0.15683985
236,0.331822566,0.180114124,0.038872052,0.158596285
237,0.321842606,0.176400785,0.038384625,0.141744936
238,0.325640515,0.182462229,0.032329215,0.141559144
239,0.333527262,0.187733784,0.038308526,0.153635244
240,0.330424528,0.182288016,0.037180537,0.141140628
241,0.330603365,0.179946699,0.03324219,0.136125058
242,0.334862457,0.179975952,0.036435057,0.157253659
243,0.322565947,0.184078223,0.030888107,0.140343729
244,0.319867449,0.176078159,0.033993113,0.136744621
245,0.317698543,0.18686034,0.040613595,0.149136926
246,0.343254676,0.187787597,0.041592223,0.140425358
247,0.319027534,0.175868018,0.03598375,0.149909123
248,0.32946965,0.169715874,0.035657404,0.136540688
249,0.317251947,0.186599953,0.037666713,0.15346873
250,0.322725276,0.183601972,0.033222009,0.145225498
251,0.347722685,0.190285756,0.040443857,0.154362222
252,0.333177751,0.185362506,0.035000614,0.139822475
253,0.335718918,0.173470706,0.03299138,0.139840277
254,0.32495284,0.186866134,0.037281871,0.152287056
255,0.328555223,0.1816857,0.031704545,0.149961041
256,0.334870585,0.19605627,0.038874951,0.146877136
257,0.328768513,0.189327552,0.038173231,0.16055679
258,0.328380104,0.18262026,0.03466846,0.141327213
259,0.334914602,0.182869754,0.030296549,0.136864438
260,0.331548297,0.175630824,0.04069437,0.145424801
261,0.322447586,0.186275005,0.038888176,0.155828016
262,0.333527257,0.1786811,0.037372696,0.140688853
263,0.325143709,0.183751975,0.035124707,0.158603504
264,0.319780979,0.188677872,0.034260091,0.137131756
265,0.329088632,0.189732219,0.043024826,0.133068362
266,0.330342373,0.179129052,0.03530401,0.158748053
267,0.337440875,0.176717203,0.033238482,0.153446047
268,0.324876192,0.184803916,0.03258319,0.13966498
269,0.327372551,0.174848874,0.035174758,0.137493093
272,0.327661195,0.187393108,0.036084947,0.150163694
273,0.319608478,0.184887209,0.03656402,0.142753263
274,0.322035593,0.186608236,0.032999103,0.145736784
275,0.345435308,0.193925682,0.03949307,0.141733454
276,0.330158554,0.193147281,0.034045213,0.140016265
277,0.33811468,0.193391885,0.034316682,0.147037269
278,0.334107652,0.186037556,0.037766774,0.137527483
279,0.319992426,0.172603593,0.040028853,0.148214427
280,0.323432463,0.191725245,0.038499663,0.155640709
281,0.317690636,0.186253318,0.034643747,0.15070747
282,0.327288957,0.18542658,0.032818202,0.147422762
283,0.315762778,0.183131194,0.039969083,0.144451654
284,0.327451563,0.187377999,0.037167268,0.141757258
285,0.342089713,0.196111858,0.0369865,0.160561197
286,0.347051839,0.195573344,0.035871773,0.142924504
287,0.333777727,0.181679509,0.033905947,0.133434579
288,0.337316671,0.194697301,0.033267851,0.151620164
289,0.330989798,0.191494006,0.036366895,0.150297223
290,0.334957819,0.183581539,0.034657458,0.139786713
291,0.328572602,0.187460594,0.029520225,0.133460045
292,0.327527103,0.176383546,0.030386102,0.123822914
293,0.329944707,0.195084615,0.036316984,0.144015909
294,0.323587328,0.19327647,0.037384334,0.134203776
296,0.330367297,0.182250161,0.038263756,0.156194344
297,0.331094944,0.189866976,0.033564352,0.133310064
298,0.334323589,0.182561107,0.038343835,0.163832928
299,0.324714006,0.175375858,0.038105737,0.147182498
301,0.327162665,0.178754755,0.037893617,0.145790537
302,0.337992062,0.186295935,0.037434407,0.141987033
303,0.329914311,0.186083948,0.038474015,0.14226338
