,eyebrow,eye,nose,forehead,,,eyebrow_rich,eyebrow_normal,eye_rich,eye_normal,nose_rich,nose_normal,forehead_rich,forehead_normal
123,0.326562091,0.174586068,0.030180811,0.125069172,,,,,,,,,,
124,0.32341423,0.179527437,0.040201193,0.120305883,,,,,,,,,,
125,0.331568945,0.185819311,0.040921479,0.135017468,,,,,,,,,,
126,0.32336054,0.189473393,0.02764579,0.121477296,,,,,,,,,,
127,0.34061932,0.183993258,0.039202105,0.121862074,,,,,,,,,,
128,0.337996682,0.183167652,0.037342095,0.132160217,,,,,,,,,,
129,0.355452278,0.173142363,0.031071442,0.110842063,,,,,,,,,,
130,0.340760861,0.180690771,0.037882262,0.13362734,,,,,,,,,,
131,0.342621504,0.172877281,0.041855262,0.120308884,,,,,,,,,,
132,0.345643129,0.164461329,0.038211839,0.12018136,,,,,,,,,,
133,0.337066952,0.167114717,0.042757844,0.133602412,,,,,,,,,,
134,0.31434547,0.170241564,0.032651452,0.115415469,,,,,,,,,,
135,0.360512226,0.177192625,0.032586577,0.110515053,,,,,,,,,,
136,0.318364379,0.183221301,0.03874848,0.148637341,,,,,,,,,,
137,0.340144682,0.174994954,0.029575263,0.128929152,,,,,,,,,,
138,0.346777062,0.182986666,0.033486637,0.114357466,,,,,,,,,,
139,0.315770746,0.172456243,0.040283181,0.139304841,,,,,,,,,,
140,0.330757634,0.173167823,0.041069021,0.124302142,,,,,,,,,,
141,0.342553611,0.179438057,0.038157002,0.133618684,,,,,,,,,,
142,0.326092858,0.176952433,0.03681566,0.13046169,,,,,,,,,,
143,0.342679362,0.174916607,0.035935509,0.124352526,,,,,,,,,,
144,0.304205303,0.174856159,0.040452172,0.139031774,,,,,,,,,,
145,0.327131334,0.168116063,0.03987246,0.134931254,,,,,,,,,,
146,0.340960179,0.181739935,0.037805295,0.131333251,,,,,,,,,,
147,0.354208131,0.179619711,0.0332432,0.119548051,,,,,,,,,,
148,0.314948194,0.180413945,0.034273999,0.134970302,,,,,,,,,,
149,0.339472357,0.184761632,0.036619423,0.114516586,,,,,,,,,,
150,0.330881611,0.177868846,0.032970646,0.114036154,,,,,,,,,,
152,0.341451813,0.169889799,0.036490255,0.118425005,,,,,,,,,,
153,0.328679298,0.174145299,0.03483975,0.126770973,,,,,,,,,,
154,0.330230953,0.167307441,0.040130867,0.129841908,,,,,,,,,,
155,0.35917719,0.185282467,0.03258921,0.135628603,,,,,,,,,,
156,0.340945873,0.167041463,0.031210846,0.123556695,,,,,,,,,,
157,0.327521404,0.178210672,0.034411517,0.131304201,,,,,,,,,,
158,0.334044191,0.17156537,0.042418531,0.1271081,,,,,,,,,,
159,0.335602394,0.156639653,0.036851884,0.124725169,,,,,,,,,,
160,0.326491726,0.17830787,0.034458328,0.133735688,,,,,,,,,,
161,0.315435645,0.176119549,0.031376282,0.115112875,,,,,,,,,,
162,0.350515343,0.177738249,0.036436352,0.116731693,,,,,,,,,,
163,0.328591545,0.166837624,0.033476269,0.122030578,,,,,,,,,,
164,0.322415506,0.179030063,0.032146837,0.135022061,,,,,,,,,,
165,0.315910079,0.174768391,0.038572218,0.129872937,,,,,,,,,,
166,0.333354916,0.162865585,0.040380877,0.129104306,,,,,,,,,,
167,0.336710784,0.17730938,0.03942126,0.131210473,,,,,,,,,,
168,0.327404338,0.172014983,0.029363161,0.128464379,,,,,,,,,,
169,0.343850683,0.190279647,0.038942456,0.135692188,,,,,,,,,,
171,0.310199287,0.172613006,0.038535955,0.128338114,,,,,,,,,,
172,0.320160384,0.164937876,0.036769404,0.12070191,,,,,,,,,,
173,0.327067604,0.183864199,0.03992384,0.131337681,,,,,,,,,,
174,0.33149293,0.174242424,0.032507517,0.129615637,,,,,,,,,,
175,0.316814024,0.16454603,0.034476468,0.126044354,,,,,,,,,,
176,0.316826799,0.178609398,0.033439751,0.131927894,,,,,,,,,,
177,0.306837033,0.162073688,0.038157286,0.128147332,,,,,,,,,,
179,0.32845737,0.159919557,0.037756236,0.116672325,,,,,,,,,,
180,0.316175595,0.167809278,0.042805337,0.122907491,,,,,,,,,,
181,0.332515464,0.171411081,0.044394694,0.141789028,,,,,,,,,,
182,0.328919077,0.175593464,0.036695871,0.126066194,,,,,,,,,,
183,0.332842173,0.171708155,0.030191551,0.121340255,,,,,,,,,,
184,0.345946245,0.171854023,0.028952085,0.130727211,,,,,,,,,,
185,0.353722544,0.179568224,0.029947377,0.120252757,,,,,,,,,,
186,0.333391847,0.154519916,0.035305263,0.125267601,,,,,,,,,,
187,0.336060901,0.175330701,0.03859213,0.131938969,,,,,,,,,,
188,0.331233738,0.171984487,0.034864409,0.131924323,,,,,,,,,,
189,0.336651011,0.183482132,0.039990855,0.130300921,,,,,,,,,,
190,0.337046015,0.186086619,0.031690283,0.121685344,,,,,,,,,,
191,0.343809073,0.172716294,0.0316337,0.117063143,,,,,,,,,,
